
 V0.2 01-27 Solving Poisson's equation in a cylinder
 with Dirichlet boundary conditions by MG: 
 Meshsize of grid: 0.00100000
 Number of relaxations: 3
 Maximal number of iterations: 100

 Structure a= 0.75000000 b= 0.75000000 l= 1.00000000
 Generate_processes(); 
   take p_level: 4 max_level:    10
 Grid_generation(); 
  I Basic grid generation by edges; 
   I.2 edge correction; 
  II Calculation of points and cells; 
   II.2 construct basic points; 
        send them; 
   II.3 fullfill B1B2; 
   II.4 construct cell points; 
   II.61 interior cell part 1; 
   II.62 sends of boundary cells; 
   II.63 interior cell part 2; 
        send them; 
   II.7 calc multigrid points; 
   II.7 remove exterior points; 
   II.8 calc interior points; 
   II.9 send coarse grid points; 
  III Calculation of boundary; 
   III.2 boundary cells; 
 Information about processes: 
 Number of processes: 2048
 Number of active processes: 2048
 Initialize_variable(); 
   III.3.1 construct boundary points; 
         remove edges; 
   III.4.1 storage for boundary cells; 
   III.4.2 storage for cells and stencils; 
   III.4.3 storage for boundary matrices; 
 IV. calculate lists; 
   IV. 2. interior points and points near boundary; 
   IV. 5. pointer in boundary cells; 
   IV. 6. restriction weights; 
   IV. 7. coarsest level; 
   IV. 8. initialize lists; 
   IV. 9. calc mg; 
   V.1 prepare evaluation; 
   V.2 prepare parallel; 
   a) ; 
   b) ; 
   c) ; 
   end prepare ; 

 information about finest level: 
------------------------------------ 
number of interior points is:       438350211
number of points near the boundary: 3876574
number of boundary points:          3890574
number of points in boundary cells: 672000
sum of all points:                  446789359
ratio of points interior / near boundary: 51.94247227
 Number of grid points: 446789359.00000000

 MG: 
-------------------- 
0. Iteration: Error: Max:0.72621912,  L2: 0.35428565 T= 26.48505890
1. Iteration: Error: Max:0.51975292,  L2: 0.24323700 T= 20.43599808
2. Iteration: Error: Max:0.36188783,  L2: 0.16372988 T= 19.75137901
3. Iteration: Error: Max:0.24587513,  L2: 0.10894769 T= 19.95464993
4. Iteration: Error: Max:0.16427448,  L2: 0.07205417 T= 20.76920497
5. Iteration: Error: Max:0.10865118,  L2: 0.04753825 T= 21.13069797
6. Iteration: Error: Max:0.07148004,  L2: 0.03136618 T= 19.96368504
7. Iteration: Error: Max:0.04693408,  L2: 0.02073440 T= 20.36519396
8. Iteration: Error: Max:0.03082785,  L2: 0.01375044 T= 19.49316895
9. Iteration: Error: Max:0.02029483,  L2: 0.00915794 T= 19.91633201
10. Iteration: Error: Max:0.01341934,  L2: 0.00613070 T= 20.49816692
11. Iteration: Error: Max:0.00892622,  L2: 0.00412818 T= 19.81165004
12. Iteration: Error: Max:0.00599901,  L2: 0.00279761 T= 19.92191494
13. Iteration: Error: Max:0.00434699,  L2: 0.00190884 T= 20.41385007
14. Iteration: Error: Max:0.00317155,  L2: 0.00131164 T= 20.09405601
15. Iteration: Error: Max:0.00232395,  L2: 0.00090774 T= 20.25369298
16. Iteration: Error: Max:0.00170797,  L2: 0.00063267 T= 20.57928491
17. Iteration: Error: Max:0.00125798,  L2: 0.00044400 T= 19.66611612
18. Iteration: Error: Max:0.00092800,  L2: 0.00031366 T= 19.92285597
19. Iteration: Error: Max:0.00068540,  L2: 0.00022296 T= 20.46605802
20. Iteration: Error: Max:0.00050668,  L2: 0.00015941 T= 20.47507298
21. Iteration: Error: Max:0.00037484,  L2: 0.00011460 T= 20.12143898
22. Iteration: Error: Max:0.00027749,  L2: 0.00008281 T= 20.40518808
23. Iteration: Error: Max:0.00020553,  L2: 0.00006013 T= 19.71267998
24. Iteration: Error: Max:0.00015232,  L2: 0.00004387 T= 19.96458304
25. Iteration: Error: Max:0.00011295,  L2: 0.00003217 T= 20.70385599
26. Iteration: Error: Max:0.00008381,  L2: 0.00002371 T= 19.61233807
27. Iteration: Error: Max:0.00006223,  L2: 0.00001757 T= 20.24015200
28. Iteration: Error: Max:0.00004626,  L2: 0.00001312 T= 20.30282402
29. Iteration: Error: Max:0.00003443,  L2: 0.00000987 T= 20.08165896
30. Iteration: Error: Max:0.00002567,  L2: 0.00000750 T= 20.56054699
31. Iteration: Error: Max:0.00001918,  L2: 0.00000578 T= 20.09716690
32. Iteration: Error: Max:0.00001438,  L2: 0.00000452 T= 20.51780605
33. Iteration: Error: Max:0.00001084,  L2: 0.00000361 T= 19.90831792
34. Iteration: Error: Max:0.00000822,  L2: 0.00000296 T= 21.46183193
35. Iteration: Error: Max:0.00000630,  L2: 0.00000249 T= 20.30041099
36. Iteration: Error: Max:0.00000493,  L2: 0.00000215 T= 20.31225896
37. Iteration: Error: Max:0.00000444,  L2: 0.00000191 T= 19.86022806
38. Iteration: Error: Max:0.00000414,  L2: 0.00000174 T= 19.85645700
39. Iteration: Error: Max:0.00000394,  L2: 0.00000163 T= 20.19636595
40. Iteration: Error: Max:0.00000380,  L2: 0.00000154 T= 20.22320402
