family,code,angle,e1,x_local,z_local,dpx_local,dpz_local
SBEND,ANALYTIC,+pi/4,0,0.0,0.0,0.0,0.0
SBEND,BMAD,+pi/4,0,0.0,0.0,0.0,0.0
SBEND,OPALX,+pi/4,0,-1.02991e-12,2.47652e-13,1384.5972709661473,573.5865237269581
SBEND,ANALYTIC,-pi/4,0,0.0,0.0,0.0,0.0
SBEND,BMAD,-pi/4,0,0.0,0.0,0.0,0.0
SBEND,OPALX,-pi/4,0,1.02991e-12,2.47652e-13,-1384.5972709661473,573.5865237269581
SBEND,ANALYTIC,+pi/2,0,0.0,0.0,0.0,0.0
SBEND,BMAD,+pi/2,0,0.0,0.0,0.0,0.0
SBEND,OPALX,+pi/2,0,7.13984e-13,1.52045e-12,1957.9509002855848,1958.2805929907636
SBEND,ANALYTIC,-pi/2,0,0.0,0.0,0.0,0.0
SBEND,BMAD,-pi/2,0,0.0,0.0,0.0,0.0
SBEND,OPALX,-pi/2,0,-7.13984e-13,1.52045e-12,-1957.9509002855848,1958.2805929907636
RBEND,ANALYTIC,+pi/4,0,0.0,0.0,0.0,0.0
RBEND,BMAD,+pi/4,0,0.0,-2.25944971e-16,0.0,0.0
RBEND,OPALX,+pi/4,0,-0.313495,0.0465415,688.502816672336,285.189557138674
RBEND,ANALYTIC,-pi/4,0,0.0,0.0,0.0,0.0
RBEND,BMAD,-pi/4,0,0.0,-2.25944971e-16,0.0,0.0
RBEND,OPALX,-pi/4,0,0.313495,0.0465415,-688.502816672336,285.189557138674
RBEND,ANALYTIC,+pi/2,0,0.0,0.0,0.0,0.0
RBEND,BMAD,+pi/2,0,0.0,0.0,0.0,0.0
RBEND,OPALX,+pi/2,0,-1.25462,-0.206342,-793.4614828922128,-793.472106541288
RBEND,ANALYTIC,-pi/2,0,0.0,0.0,0.0,0.0
RBEND,BMAD,-pi/2,0,0.0,0.0,0.0,0.0
RBEND,OPALX,-pi/2,0,1.25462,-0.206342,793.4614828922128,-793.472106541288
