10000
x px y py z pz
-1.4238250364546313e-03 2.4743183075742432e+00 -8.7066173795908577e-04 -5.0744847590185671e-01 -7.5343307010520969e-05 1.9564986819975734e+03
-1.3677927017829434e-03 1.2705002643497927e+00 3.6105811305489502e-04 -3.8236100468530450e+00 2.3474096543788518e-03 1.9598430559099381e+03
-7.5938718042450665e-04 1.7664599484054615e+00 -4.6695317332055028e-04 -1.1882709954257956e-01 7.8884434451920084e-04 1.9554896321908038e+03
5.7585751439592867e-04 2.7391322212378784e+00 1.3222980607327857e-03 -5.8679498620710391e-01 9.0291934142505985e-04 1.9547739415898036e+03
-1.5818926067687127e-04 8.8006748207483854e-01 -1.3436010724863950e-03 -1.5994029402648544e-01 1.7247399323163303e-03 1.9630769520820636e+03
7.7736134381076801e-04 1.6224231343902737e+00 -9.5898831301801095e-04 -2.3679229190237008e+00 -1.4122920134741184e-03 1.9590091473802067e+03
7.5193939555768684e-04 -1.2898203791519574e+00 -1.2286749856452769e-03 5.0428547172657612e-01 3.1290291843470041e-04 1.9576943154731923e+03
1.2699831204679329e-03 -1.8201593040572372e-01 -6.6150889001662374e-05 -2.1698295444786693e+00 1.3595685055052360e-04 1.9605872311990106e+03
6.1144020976008402e-05 1.3884730744968263e-01 4.3365453705286925e-04 5.4329938940184019e-01 5.3025238664012112e-04 1.9590017212514231e+03
6.1835001480082901e-04 -1.5566051661897726e+00 3.0003094628661711e-04 -3.1380110699888659e+00 2.6679882974339617e-04 1.9554775933632309e+03
-7.1270806191780353e-05 9.2816610935138322e-01 -4.1485376107133060e-04 1.9132411190376047e-01 -1.6404178369858733e-03 1.9562722279372617e+03
6.8828178813704185e-04 -2.2605122691376627e+00 6.5045238909098766e-04 -2.7183406580113876e+00 -9.0738245737184448e-04 1.9558029437581808e+03
7.1456949400429563e-06 1.0462504679797440e+00 -1.0658078466234504e-03 -3.5531472014409271e-01 1.6219517985108750e-03 1.9573291784594489e+03
-8.1581496688792649e-04 7.5690274583458672e-01 -2.2363892594857952e-04 -1.3738761702110978e+00 -1.7957131760562904e-03 1.9595525417945514e+03
-5.7103290179359018e-04 1.5380195254103598e-03 -1.0636427168871747e-03 2.5486931136498452e+00 7.4787294214054625e-04 1.9598697778758535e+03
-1.1041868812581060e-04 9.1616152137163731e-01 8.9060714969481153e-04 2.0030021370020461e+00 3.1238338941639768e-04 1.9578284828868905e+03
-3.5947964729832036e-04 -1.4658081839419930e+00 -9.6547890747490401e-04 7.0493019159763737e-01 -2.4455253226153605e-04 1.9540424619509088e+03
-1.5524761683615522e-04 2.0829286484920835e+00 -2.7517156733963740e-04 -3.6287408046869425e+00 -1.2434192784833140e-04 1.9594834027064333e+03
2.0199859674703099e-04 -8.3814875261118571e-01 1.8482888956341396e-03 3.7200145296072717e+00 -9.8425034780280930e-05 1.9595399041374619e+03
3.9249438855178608e-04 1.5300268522866562e+00 1.4532715173139613e-03 1.6058840287505682e+00 8.7705344563706656e-05 1.9566701390015464e+03
-8.1188687927783788e-04 -5.0002488354202596e-02 1.1581845431982978e-03 5.8840511577401233e-01 5.3056646103272190e-05 1.9584545641794391e+03
3.5742862402861313e-05 1.0714625770868285e+00 -1.1229615793719291e-03 -3.8674380047162766e+00 -4.2515004962730282e-04 1.9556969805543777e+03
1.6151380541856669e-03 -3.1028991557979119e-01 -2.5287334532492607e-04 -3.0116301195533168e+00 2.8208603286021408e-04 1.9567275840086081e+03
1.1218222632388664e-03 1.6470694984883085e+00 -7.7589610054615385e-04 8.0416263525483955e-01 -2.7224161043317196e-03 1.9566317719400959e+03
1.2462215291611011e-03 1.5471885422812455e+00 1.7534088846317406e-04 -5.7357392482470286e-02 -1.4195142573515424e-03 1.9552875678894982e+03
2.2341155858105106e-04 3.4494776737511175e+00 -2.1708898467065899e-03 1.2305489979261677e+00 6.0119652600182827e-04 1.9598090433692425e+03
-8.6924666704120922e-04 -1.0357698855159569e+00 4.5684095556005801e-05 -2.0118960226362215e+00 -1.2292892985419786e-03 1.9562200468651417e+03
-7.0893463694716589e-05 7.3237810550675875e-01 -2.4593738361064865e-05 1.5127257771817479e-01 -6.8391321798228258e-04 1.9565394204884378e+03
1.1206228150424109e-03 -1.0732343597493944e-01 -8.2413724177990197e-05 1.8326156379970628e+00 1.2385371249615590e-03 1.9604421398712777e+03
4.0589221751361458e-04 -9.8534313980386840e-02 2.8931753889400546e-04 3.5107171627782058e-01 1.3974805560965453e-03 1.9585227075331054e+03
6.3840567435309201e-04 -5.4602773843679932e-02 1.3710518498340016e-03 -4.0192966028168291e+00 3.8050907839241209e-04 1.9594258229797726e+03
-1.1591258506012596e-03 4.2102016854836979e+00 -1.5027021861875137e-04 -3.1555175115907003e-01 -1.0794424752754797e-03 1.9596653948362659e+03
2.2446741387056884e-04 -1.1583109514010956e+00 2.2626280218566143e-04 1.3435116764743575e+00 1.2150046080596176e-03 1.9583731585757846e+03
-9.6482355726516518e-04 -1.0898107677613718e+00 -2.2983876401844834e-03 -1.4333808783176516e+00 7.3646910044413143e-04 1.9588619510818623e+03
-1.0787604879752731e-04 -6.6851550915793911e-01 1.5845337934703809e-03 5.5261443160986590e-01 9.0954639078585746e-04 1.9587242668926522e+03
-6.6937651923603347e-04 3.0453361392162455e+00 -1.2381390312603113e-03 -2.3420489384789152e+00 -4.2914950583530732e-04 1.9565185181100956e+03
-5.5746889911873008e-04 -1.1746786590428611e+00 9.8682720439163059e-04 1.0611051447511728e-01 3.5190744273261656e-04 1.9548414060000762e+03
-8.4695134936290653e-04 2.1235353519838691e+00 -1.2038266452453984e-03 2.3075056578669644e+00 -1.0306658539867676e-03 1.9585342724478248e+03
-8.4623997113598721e-04 3.8497289980506350e-01 -8.9963782473785549e-04 -5.0242083734939802e-01 1.6725477657523191e-03 1.9572160662909700e+03
2.0367947804284855e-03 -8.9829495896714318e-01 -1.1757696594945186e-03 1.4694910969345454e-01 -4.0899021503626828e-04 1.9613899204072802e+03
8.6092306858895492e-04 2.3128764910810333e+00 6.3167017125858877e-04 4.8380910871878937e+00 7.9430251664722510e-04 1.9589839514122541e+03
-8.2939859720816765e-04 -1.7803722862865592e+00 1.8423593356884394e-04 1.9535223867108256e+00 1.1169590406661699e-03 1.9561008357657315e+03
5.3140670396732454e-04 3.7856197415073545e-01 -1.1182635832284737e-03 1.0021685319365865e+00 -2.2705662890578730e-03 1.9584658965019155e+03
2.4713134936737722e-03 -1.9968851771448717e+00 1.8752614968776280e-05 -3.7088763948473544e+00 -7.5500165578192870e-04 1.9594269985821268e+03
-1.0424620058001410e-03 -6.7075762803234282e-02 -3.5516829912535632e-04 -7.4094417423513159e-01 1.9064868848462150e-04 1.9588992110857973e+03
1.2302677544535274e-03 1.6309156042320865e+00 -5.6494175184833111e-04 2.7699053722589517e+00 1.2482812171802861e-03 1.9548959416514292e+03
6.6523259219652758e-04 1.6164748329462841e+00 9.6631883264685107e-04 1.0713423843418282e+00 -1.2971832648290640e-03 1.9574259526587871e+03
-2.0702065564684098e-03 -3.0914587179824793e-01 2.0289426240766937e-03 1.3344823469203666e+00 8.3620358249665116e-04 1.9569450643683736e+03
-1.0157366056598204e-03 -2.0955379029471213e+00 1.2391265760081327e-04 -1.5722656921752118e+00 -6.3763574680547532e-04 1.9601900438192968e+03
-1.6409019141405822e-03 -2.5727545302310699e+00 -5.1035250973149762e-04 -1.9552271039548499e-01 -1.2950676383170789e-04 1.9552145457788358e+03
1.9380935092581369e-04 -2.5314881718366167e-01 3.5447909430242963e-04 -2.1202114837544510e+00 2.4493923476354742e-04 1.9583821203947698e+03
-6.6043248447090021e-04 -4.2788110115814998e-01 -5.5599901236799785e-04 2.6557274607916259e+00 -3.1196086260734056e-03 1.9551146075243087e+03
-1.7057853945163359e-03 -7.4034025371194334e-01 -6.7849391592547811e-04 -8.0519935910039730e-01 7.1901264368336322e-04 1.9547542291291645e+03
-8.4569363100717978e-04 -4.3681896657941166e-01 -1.2022183196632535e-03 7.2441772764445167e-01 3.2999735781067020e-04 1.9565597257193006e+03
-1.7711071622729853e-03 3.1343580330089691e+00 4.7109806532184102e-04 8.2968292976415503e-01 7.2260481422761549e-05 1.9579338585828209e+03
8.3107567291537752e-04 -3.0554851986840707e-02 -6.3090633839818771e-04 1.3891688949709460e+00 5.9695170755182065e-05 1.9564379651552736e+03
-9.0623909362498643e-04 2.2819512422745731e+00 6.3104740214957203e-04 3.8679684368707119e+00 -5.2665519637728846e-04 1.9564899579641205e+03
4.0389057141565759e-04 2.7008109288862627e+00 5.9675240144095826e-04 8.4809246006251582e-01 1.8869880656607087e-03 1.9564933572523219e+03
-1.2479490199884661e-03 -1.4579261239146850e+00 -3.1685698868306209e-04 7.3100355188155941e-01 1.0219603518880208e-03 1.9587444131389493e+03
1.5233137497854790e-03 -1.6202203077607433e+00 1.9054954610443966e-03 -1.5898986278675715e+00 1.1707362367212241e-03 1.9561133605585972e+03
3.4326700667804963e-04 9.9656589439228602e-02 5.1755964544644131e-04 1.4712528142472827e+00 -2.1319917119451659e-04 1.9578195353673495e+03
2.3911171831947001e-04 -2.5551419067693932e+00 -7.3123643978194829e-04 -3.1805088837178559e+00 5.2505096150520822e-06 1.9622975614329509e+03
7.4130922366560394e-04 -1.6944688975703512e+00 -7.0768469585649112e-04 1.9107618901636998e+00 -4.7440938265727470e-04 1.9547999310548032e+03
-1.0229155522954367e-03 -2.0641823448047969e+00 -1.0213987120903925e-03 1.3234785350986920e+00 7.0702871880720550e-05 1.9550347075090053e+03
-5.3979699273446684e-04 -2.2287767062942092e+00 -1.2084205225110344e-03 -2.9499955505297080e+00 1.7471620382676972e-03 1.9573457001196755e+03
5.7623058418939657e-04 1.7009574906883982e+00 -3.8427166589499983e-04 1.0473462084413825e+00 5.4061587910752911e-04 1.9583854683971690e+03
2.1695321291637522e-03 5.5591729083165142e-01 -2.2849051357522467e-04 1.2651583426002468e+00 1.7779635398814115e-03 1.9598972472760909e+03
-4.7829989204236983e-04 -1.6814188954558862e+00 -9.3085028567849908e-04 -1.2959664577195040e+00 3.8650090258414335e-04 1.9596061818535418e+03
-2.2699478735929931e-03 -3.6551351791792454e-02 -1.1050188826766901e-03 1.3370841635933088e+00 9.1451849254451029e-04 1.9564264956996967e+03
-4.4942320399985678e-04 -1.8632225804475819e+00 3.9107853484972793e-04 -3.1522262273528998e+00 -1.1255752450313366e-03 1.9566070419439257e+03
1.2265189558898293e-03 4.7039238499083194e+00 1.9958419002947973e-05 -2.4113560622850576e+00 7.4186468513560058e-05 1.9562422301108468e+03
4.5981956767958399e-04 -2.1805787738077602e+00 -3.6948735021521961e-04 -2.7617931395061593e-02 5.1994379795998642e-04 1.9577991697446014e+03
1.2658885839184385e-03 2.4324165080323309e-01 -1.8138149135889818e-03 1.8092622371242171e+00 -2.9111340585456005e-04 1.9566387149752825e+03
1.5076846819246999e-03 -1.9454321589417096e+00 7.2667437109347294e-05 -1.3959690527000606e+00 1.3524289333451823e-03 1.9572367355322885e+03
2.3569947768545100e-04 -2.7260250158515005e+00 1.4347339874790496e-03 -2.0940685060225808e+00 9.1045932316612523e-04 1.9601284949174014e+03
1.2323153785203374e-03 3.5519438555176754e+00 -1.1707380197420307e-03 7.8706137873059345e-01 1.3796964947508373e-04 1.9587697235294986e+03
1.0983195384609440e-03 2.1412497567507949e-01 -8.1691921209176954e-04 -1.9041653929882102e-01 1.5392364338211091e-03 1.9556425075896129e+03
7.9684246178408365e-05 -1.9213385491098016e+00 1.1087794071475176e-03 -3.2275815067047895e+00 -3.4108646863051611e-04 1.9577041571345999e+03
1.1691573949774224e-04 4.6231503450185114e+00 1.5551687802012411e-03 -2.0164141778108835e+00 2.1594044533560265e-03 1.9556095020487394e+03
-1.8708905030281402e-03 -2.9339543248621291e+00 2.0345047060584865e-04 1.0472307812829236e+00 -2.2110858725710421e-03 1.9588020670405176e+03
-2.6705216894187697e-04 1.3830760403469655e+00 -3.8460681471127561e-04 1.7623158219538617e+00 5.6434512968477546e-04 1.9556536637220045e+03
1.4455919954532441e-03 4.1592189317840622e-01 7.3004882054626501e-04 2.4704875329598708e+00 -9.7475833230135933e-04 1.9577834139810329e+03
-8.2169796874462990e-04 -1.8451195657209367e+00 2.6597954616759884e-04 6.6529431437345021e-01 1.3314034936167188e-03 1.9606627677092995e+03
-2.1358303443520312e-05 -1.6389316567218823e+00 3.2006894162813992e-03 4.2054484116930668e+00 -1.0666477193604431e-04 1.9561245232538668e+03
-4.2367436881325611e-04 5.5010794043480526e-01 1.1315512191882606e-03 1.8980047990170943e+00 4.3541520455856006e-04 1.9574660706616871e+03
1.6818520549662154e-04 -6.0818759697037261e-01 7.0933597485311925e-05 -2.0239789720653595e-01 5.2532527702357518e-04 1.9542646337949991e+03
-3.4567800818455382e-04 -5.7036911549541480e-01 -1.1306383412932864e-03 -3.3818643847100543e-01 -1.0535423339977730e-03 1.9566496533904440e+03
-2.8968199802591329e-04 -4.9569789420834337e-01 -5.7378315780639113e-04 2.1605491570562805e+00 2.0116508652147144e-04 1.9585808220598562e+03
2.3309275778823801e-04 -1.3080389473634584e+00 -8.8321901264143778e-04 1.6439733116181092e+00 -3.5307789716585976e-04 1.9544819988309782e+03
-2.1987871028194459e-03 4.3419555826283013e-01 -7.3707720749492146e-04 -1.3232586839537899e-01 -5.4725415974624840e-04 1.9571531776982160e+03
-1.7273762007115841e-04 -2.4423624061578386e+00 -1.8762419275591128e-05 1.9307815915558444e+00 6.9567427317155305e-04 1.9545423489126349e+03
-1.3416360832729205e-03 -2.6096086547214825e+00 -2.4806881758778751e-04 1.6737245757135557e+00 3.2298434001788257e-04 1.9545149228041380e+03
5.4885534029718301e-05 1.5808722740693251e+00 -4.4901397788419648e-04 3.7282903944515806e+00 -6.5146830466193207e-04 1.9602424080467472e+03
2.3512268771727716e-03 -2.4991747645838696e+00 -3.2368662088264315e-04 1.1252269670131891e+00 3.2114176473232738e-03 1.9544472786468884e+03
5.6605022558601874e-04 5.5761727337030076e-01 -4.2237612560223496e-04 -1.6346001080892707e+00 -5.2591618452587079e-04 1.9573568020076020e+03
